ac_no,ac_name_x,regions,caste,locality,district,s_no,candidate_name,party,evm_votes,postal_votes,votes,vote_share,st_name,st_no,ac_name_y,constituency_code,position,total_votes,margin,margin_percent,vote_share_percent,margin_buckets_percent,margin_buckets_votes
6,Raybag,Maharashtra - Karnataka,SC,Rural,Belgaum ,5,BASAVARAJ NASALAPURE,Bharatiya Rashtravadi Paksha,245,0,245,0.15,Karnataka,S10,Raybag,6,11.0,165288,,,0.14822612651856154,(>20),>20000
7,Hukkeri,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,2,KATTI NIKHIL UMESH,Bharatiya Janata Party,103104,470,103574,61.69,Karnataka,S10,Hukkeri,7,1.0,167903,42551.0,25.342608529925016,61.686807263717746,(>20),>20000
7,Hukkeri,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,1,A.B.PATIL,Indian National Congress,60784,239,61023,36.34,Karnataka,S10,Hukkeri,7,2.0,167903,59855.0,35.64855898941651,36.34419873379272,(>20),>20000
7,Hukkeri,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,8,NOTA,None of the Above,1163,5,1168,0.7,Karnataka,S10,Hukkeri,7,3.0,167903,414.0,0.2465709367908852,0.6956397443762172,(0-5),Less than 1000
7,Hukkeri,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,7,PUNDALIK KEMPANNA KULLUR,Independent,754,0,754,0.45,Karnataka,S10,Hukkeri,7,4.0,167903,130.0,0.07742565648022966,0.44906880758533196,(0-5),Less than 1000
7,Hukkeri,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,3,KAMBLE BASAVARAJ KADAPPA,Bahujan Samaj Party,622,2,624,0.37,Karnataka,S10,Hukkeri,7,5.0,167903,223.0,0.13281477996224011,0.3716431511051024,(0-5),Less than 1000
7,Hukkeri,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,4,BASAVARAJ MALAGOUDA PATIL,Janata Dal  (Secular),399,2,401,0.24,Karnataka,S10,Hukkeri,7,6.0,167903,212.0,0.12626337826006684,0.23882837114286223,(0-5),Less than 1000
7,Hukkeri,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,5,MANJUNATH.B.GADDENNAVAR,Aam Aadmi Party,189,0,189,0.11,Karnataka,S10,Hukkeri,7,7.0,167903,19.0,0.011316057485572028,0.11256499288279542,(0-5),Less than 1000
7,Hukkeri,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,6,GHATIGEPPA MALLAPPA MAGADUM,Bahujan Bharat Party,169,1,170,0.1,Karnataka,S10,Hukkeri,7,8.0,167903,,,0.1012489353972234,(>20),>20000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,5,BALACHANDRA LAXMANRAO JARKIHOLI,Bharatiya Janata Party,114242,1160,115402,60.7,Karnataka,S10,Arabhavi,8,1.0,190105,71540.0,37.631835038531335,60.70434759738039,(>20),>20000
8,Arabhavi,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,11,BHIMAPPA GUNDAPPA GADAD,Independent,43674,188,43862,23.07,Karnataka,S10,Arabhavi,8,2.0,190105,19906.0,10.471055469345888,23.072512558849056,(10-20),Between 10000 & 20000
